soortgroep;meetnet;protocol;type;duur_meetcyclus;generatie;bezoeken;begin_telperiode;einde_telperiode;opstartjaar;type_soort
amfibieën;Boomkikker;Padden en kikkers - Roepkoren;Steekproef;3;;2;15/apr;15/jun;2016;EPS
amfibieën;Boomkikker;Amfibieën - Larven en metamorfen;Steekproef;3;;1;1/jul;30/jul;2016;EPS
amfibieën;Kamsalamander;Amfibieën - Fuiken;Steekproef;3;;2;15/apr;31/mei;2017;EPS
amfibieën;Kamsalamander;Amfibieën - Larven en metamorfen;Steekproef;3;;1;1/jul;15/jul;2017;EPS
amfibieën;Knoflookpad;Padden en kikkers - Roepkoren;Integraal;1;;2;1/apr;30/apr;2017;VPS
amfibieën;Knoflookpad;Amfibieën - Larven en metamorfen;Integraal;1;;1;15/mei;30/jun;2017;VPS
amfibieën;Vuursalamander;Vuursalamander - Transect;Integraal;1;;2;1/sep;30/okt;2016;VPS
amfibieën;Rugstreeppad;Rugstreeppad - Transect;Integraal;3;;3;1/apr;30/jun;2019;EPS
overige;Vliegend hert;Vliegend hert - Inhaalslag;Inhaalslag;6;;6;1/jun;30/jul;2017;EPS
overige;Roestbruine kniptor;Kevers - Feromoonval;Inhaalslag;6;;1;;;2018;VPS
overige;Vliegend hert;Vliegend hert - Transecten;Steekproef;1;;6;1/jun;30/jul;2019;EPS
overige;Schavertje;Sprinkhanen - Wegvangst;Integraal;1;;1;1/aug;30/sep;2017;VPS
overige;Zadelsprinkhaan;Sprinkhanen - Gebiedstelling;Integraal;1;;2;1/aug;30/sep;2016;VPS
libellen;Gevlekte witsnuitlibel;Libellen - Populatietelling per locatie;Integraal;1;;2;20/mei;30/jun;2016;EPS
libellen;Hoogveenglanslibel;Libellen - Populatietelling per locatie;Integraal;1;;2;20/mei;31/jul;2018;VPS
libellen;Kempense heidelibel;Libellen - Populatietelling per locatie;Integraal;1;;2;1/aug;31/aug;2016;VPS
libellen;Maanwaterjuffer;Libellen - Populatietelling per locatie;Integraal;1;;2;20/apr;20/mei;2016;VPS
libellen;Rivierrombout;Libellen - Larvenhuidjes;Integraal;1;;5;20/jun;20/aug;2016;EPS
libellen;Beekrombout;Libellen - Larvenhuidjes Beekrombout;Integraal;1;;3;1/mei;1/jun;2018;VPS
libellen;Speerwaterjuffer;Libellen - Populatietelling per locatie;Integraal;1;;2;15/mei;20/jun;2017;VPS
libellen;Variabele waterjuffer;Libellen - Transect;Steekproef;3;;2;1/mei;30/jun;2017;VPS
libellen;Bosbeekjuffer;Libellen - Transect;Steekproef;3;;2;20/mei;20/aug;2018;VPS
libellen;Vroege glazenmaker;Libellen - Transect;Steekproef;3;;2;20/mei;30/jun;2017;VPS
overige;Gerande oeverspin;Gerande oeverspin - Inhaalslag;Inhaalslag;6;;1;1/apr;30/sep;2016;VPS
overige;Lentevuurspin;Lentevuurspin - Transect;Integraal;1;;1;15/aug;15/sep;2016;VPS
planten;Bleekgeel blaasjeskruid;Vaatplanten - Oppervlakte;Integraal;3;;1;1/jun;30/aug;2016;VPS
planten;Driekantige bies;Vaatplanten - Oppervlakte;Integraal;3;;1;1/jun;30/sep;2016;VPS
planten;Duingentiaan;Vaatplanten - Aantal individuen;Integraal;3;;1;1/aug;30/sep;2016;VPS
planten;Fijn goudscherm;Vaatplanten - Aantal individuen;Integraal;3;;1;1/jun;30/sep;2016;VPS
planten;Gesteelde zoutmelde;Vaatplanten - Oppervlakte;Integraal;3;;1;1/aug;30/sep;2016;VPS
planten;Grote bremraap;Vaatplanten - Aantal individuen;Integraal;3;;1;1/jun;30/jul;2016;VPS
planten;Harlekijn;Vaatplanten - Aantal individuen;Integraal;3;;1;1/mei;30/jun;2016;VPS
planten;Honingorchis;Vaatplanten - Aantal individuen;Integraal;3;;1;1/jun;30/jul;2016;VPS
planten;Kleine schorseneer;Vaatplanten - Aantal individuen;Integraal;3;;1;1/mei;30/jun;2016;VPS
planten;Kleine wolfsklauw;Vaatplanten - Aantal individuen;Integraal;3;;1;1/aug;30/sep;2016;VPS
planten;Klimopklokje;Vaatplanten - Oppervlakte;Integraal;3;;1;1/jun;30/sep;2016;VPS
planten;Koprus;Vaatplanten - Aantal individuen;Integraal;3;;1;1/jun;30/sep;2016;VPS
planten;Krabbenscheer;Vaatplanten - Aantal individuen;Integraal;3;;1;1/mei;30/jul;2016;VPS
planten;Moerassmele;Vaatplanten - Oppervlakte;Integraal;3;;1;1/jul;30/aug;2016;VPS
planten;Plat fonteinkruid;Vaatplanten - Oppervlakte;Integraal;3;;1;1/mei;30/sep;2016;VPS
planten;Polei;Vaatplanten - Oppervlakte;Integraal;3;;1;1/aug;30/sep;2016;VPS
planten;Purperorchis;Vaatplanten - Aantal individuen;Integraal;3;;1;1/mei;30/jun;2016;VPS
planten;Ronde zegge;Vaatplanten - Oppervlakte;Integraal;3;;1;1/mei;30/jun;2016;VPS
planten;Slank wollegras;Vaatplanten - Oppervlakte;Integraal;3;;1;1/mei;30/jul;2016;VPS
planten;Spits fonteinkruid;Vaatplanten - Oppervlakte;Integraal;3;;1;1/mei;30/sep;2016;VPS
planten;Stekende bies;Vaatplanten - Oppervlakte;Integraal;3;;1;1/jun;30/aug;2016;VPS
planten;Veenmosorchis;Vaatplanten - Aantal individuen;Integraal;3;;1;1/jul;30/aug;2016;VPS
planten;Weegbreefonteinkruid;Vaatplanten - Oppervlakte;Integraal;3;;1;1/mei;30/aug;2016;VPS
planten;Welriekende nachtorchis;Vaatplanten - Aantal individuen;Integraal;3;;1;1/jun;30/aug;2016;VPS
planten;Witte waterranonkel;Vaatplanten - Oppervlakte;Integraal;3;;1;1/mei;30/jul;2016;VPS
dagvlinders;Aardbeivlinder;Vlinders - Transecten;Integraal;1;;3;1/mei;31/mei;2017;VPS
dagvlinders;Argusvlinder;Vlinders - Transecten;Steekproef;3;Generatie 1;3;1/mei;31/mei;2016;VPS
dagvlinders;Argusvlinder;Vlinders - Transecten;Steekproef;3;Generatie 2;3;20/jul;20/aug;2016;VPS
dagvlinders;Bruin dikkopje;Vlinders - Transecten;Integraal;1;Generatie 1;3;1/mei;31/mei;2017;VPS
dagvlinders;Bruin dikkopje;Vlinders - Transecten;Integraal;1;Generatie 2;3;20/jul;20/aug;2017;VPS
dagvlinders;Bruine eikenpage;Vlinders - Gebiedstelling;Integraal;1;;3;6/jan;20/jul;2018;VPS
dagvlinders;Gentiaanblauwtje;Vlinders - Eitellingen;Integraal;1;;1;1/aug;31/aug;2016;VPS
dagvlinders;Grote weerschijnvlinder;Vlinders - Gebiedstelling;Integraal;1;;3;1/jul;30/jul;2018;VPS
dagvlinders;Heivlinder;Vlinders - Transecten;Steekproef;3;;3;20/jul;20/aug;2016;VPS
dagvlinders;Klaverblauwtje;Vlinders - Transecten;Integraal;1;Generatie 1;3;1/mei;31/mei;2017;VPS
dagvlinders;Klaverblauwtje;Vlinders - Transecten;Integraal;1;Generatie 2;3;10/jul;10/aug;2017;VPS
dagvlinders;Kommavlinder;Vlinders - Transecten;Integraal;1;;3;1/aug;31/aug;2016;VPS
dagvlinders;Oranje zandoogje;Vlinders - Transecten;Steekproef;3;;3;15/jul;15/aug;2017;VPS
dagvlinders;Veldparelmoervlinder;Vlinders - Transecten;Integraal;1;;3;1/mei;31/mei;2016;VPS
zoogdieren;Das;Burchtentelling das;Integraal;3;;1;15/mei;15/jul;2016;VPS
zoogdieren;Hamster;Burchtentelling hamster;Integraal;1;;1;1/aug;30/sep;2016;EPS
zoogdieren;Hazelmuis;Hazelmuis - Transect;Integraal;1;;2;15/sep;15/nov;2016;EPS
zoogdieren;Otter;Ottersporen;Inhaalslag;;;;;;2018;EPS
vogels;Algemene Broedvogelmonitoring (ABV);Algemene Broedvogelmonitoring;Steekproef;3;;3;;;2007;EPS
mollusken;Bataafse stroommossel;;;;;;;;2017;EPS
mollusken;Zeggekorfslak;;;;;;;;2017;EPS
mollusken;Nauwe korfslak;;;;;;;;2017;EPS
mollusken;Platte schijfhoren;;;;;;;;2017;EPS
zoogdieren;Otter;;;;;;;;2018;EPS
