soortgroep	meetnet	protocol	type	duur_meetcyclus	generatie	bezoeken	opstartjaar	type_soort	start_telperiode	einde_telperiode	is_sample	n_locaties	actief
amfibieën	Boomkikker	Amfibieën - Larven en metamorfen	Steekproef	3	generatie1	1	2016	EPS	19144	19188	0	40	1
amfibieën	Boomkikker	Amfibieën - Larven en metamorfen	Steekproef	3	generatie1	1	2016	EPS	19144	19188	1	60	1
amfibieën	Boomkikker	Padden en kikkers - Roepkoren	Steekproef	3	generatie1	2	2016	EPS	19083	19173	0	40	1
amfibieën	Boomkikker	Padden en kikkers - Roepkoren	Steekproef	3	generatie1	2	2016	EPS	19083	19173	1	60	1
amfibieën	Heikikker	Heikikker - DNA eitjes	Pilootproject	3	generatie1	2	2021	EPS	19417	19477	1	56	1
amfibieën	Kamsalamander	Amfibieën - Fuiken	Steekproef	3	generatie1	2	2017	EPS	19066	19143	0	147	1
amfibieën	Kamsalamander	Amfibieën - Fuiken	Steekproef	3	generatie1	2	2017	EPS	19066	19143	1	59	1
amfibieën	Kamsalamander	Amfibieën - Larven en metamorfen	Steekproef	3	generatie1	1	2017	EPS	19144	19188	0	147	1
amfibieën	Kamsalamander	Amfibieën - Larven en metamorfen	Steekproef	3	generatie1	1	2017	EPS	19144	19188	1	59	1
amfibieën	Knoflookpad	Knoflookpad - Roepkoren	Integraal	1	generatie1	2	2017	EPS	19431	19492	1	4	1
amfibieën	Poelkikker	Padden en kikkers - Roepkoren	Pilootproject	3	generatie1	2	2021	EPS	19113	19143	1	67	1
amfibieën	Rugstreeppad	Rugstreeppad - Transect	Integraal	3	generatie1	3	2019	EPS	19083	19173	1	48	1
amfibieën	Vroedmeesterpad	Vroedmeesterpad - Larven	Integraal	1	generatie1	1	2022	EPS	NA	NA	1	20	1
amfibieën	Vroedmeesterpad	Vroedmeesterpad - Roepkoren	Integraal	1	generatie1	2	2022	EPS	19358	19722	1	20	1
amfibieën	Vuursalamander	Vuursalamander - Transect	Integraal	1	generatie1	2	2016	VPS	19219	19296	0	8	1
amfibieën	Vuursalamander	Vuursalamander - Transect	Integraal	1	generatie1	2	2016	VPS	19219	19296	1	33	1
andere zoogdieren	Das	Burchtentelling das	Integraal	3	generatie1	1	2016	VPS	NA	NA	NA	NA	1
andere zoogdieren	Hamster	Burchtentelling hamster	Integraal	1	generatie1	1	2016	EPS	NA	NA	1	1	1
andere zoogdieren	Hazelmuis	Hazelmuis - Transect	Integraal	1	generatie1	2	2016	EPS	19250	19311	1	3	1
andere zoogdieren	Hazelmuis - Nestbuizen	Hazelmuis - Nestbuizen	Integraal	1	generatie1	4	2020	EPS	19093	19301	1	17	1
andere zoogdieren	Otter	Otter	Inhaalslag	12	generatie1	1	2018	EPS	19327	19447	1	37	1
dagvlinders	Aardbeivlinder	Vlinders - Transecten	Integraal	1	generatie1	3	2017	VPS	19113	19143	1	4	1
dagvlinders	Argusvlinder	Vlinders - Transecten	Steekproef	3	generatie1	3	2016	VPS	19113	19143	0	4	1
dagvlinders	Argusvlinder	Vlinders - Transecten	Steekproef	3	generatie2	3	2016	VPS	19193	19224	0	4	1
dagvlinders	Argusvlinder	Vlinders - Transecten	Steekproef	3	generatie1	3	2016	VPS	19113	19143	1	30	1
dagvlinders	Argusvlinder	Vlinders - Transecten	Steekproef	3	generatie2	3	2016	VPS	19193	19224	1	30	1
dagvlinders	Bruin dikkopje	Vlinders - Transecten	Integraal	1	generatie1	3	2017	VPS	19113	19143	1	4	1
